event_id,compound,n_laps,observed_slope,predicted_slope
2022_20_R,HARD,22,0.05259018084718997,0.013955566100776196
2022_20_R,HARD,20,0.05357025432705148,0.013955566100776196
2022_21_R,MEDIUM,10,0.1029516005121655,0.31618496775627136
2022_21_R,MEDIUM,15,0.08125419324842116,0.31618496775627136
2022_21_R,MEDIUM,6,0.14142173038229733,0.31618496775627136
2022_21_R,MEDIUM,17,0.06654410892967084,0.31618496775627136
2022_21_R,MEDIUM,10,0.07246791433532557,0.31618496775627136
2022_21_R,MEDIUM,10,0.11470917626973863,0.31618496775627136
2022_21_R,MEDIUM,6,0.09347887323943513,0.31618496775627136
2022_21_R,MEDIUM,13,0.09100657909132584,0.31618496775627136
2022_21_R,MEDIUM,5,0.027790903314624953,0.31618496775627136
2022_21_R,MEDIUM,15,0.07739736230504389,0.31618496775627136
2022_21_R,MEDIUM,11,0.21769297414499783,0.31618496775627136
2022_21_R,MEDIUM,13,0.08923312894389439,0.31618496775627136
2022_21_R,MEDIUM,7,0.09913558965734555,0.31618496775627136
2022_21_R,MEDIUM,19,0.06781746973066477,0.31618496775627136
2022_21_R,MEDIUM,7,0.05316249208312163,0.31618496775627136
2022_21_R,MEDIUM,21,0.04084025416395335,0.31618496775627136
2022_21_R,MEDIUM,7,0.10676458752515029,0.31618496775627136
2022_21_R,MEDIUM,13,0.13010524686580924,0.31618496775627136
2022_21_R,MEDIUM,10,0.052577962077705306,0.31618496775627136
2022_21_R,MEDIUM,9,0.06576060698556764,0.31618496775627136
2022_21_R,MEDIUM,7,0.05102666735708676,0.31618496775627136
2022_21_R,MEDIUM,13,0.17707040231337676,0.31618496775627136
2022_21_R,MEDIUM,12,0.09354365056737363,0.31618496775627136
2022_21_R,MEDIUM,13,0.1253481592235682,0.31618496775627136
2022_21_R,SOFT,4,0.19957887323944137,0.28660881519317627
2022_21_R,SOFT,9,0.021401648108547038,0.28660881519317627
2022_21_R,SOFT,7,0.11555030181086544,0.28660881519317627
2022_21_R,SOFT,10,0.07781960883971546,0.28660881519317627
2022_21_R,SOFT,13,0.1060887633493261,0.28660881519317627
2022_21_R,SOFT,7,0.07826458752514709,0.28660881519317627
2022_21_R,SOFT,10,0.058962146113274626,0.28660881519317627
2022_21_R,SOFT,8,0.023483256897162266,0.28660881519317627
2022_21_R,SOFT,14,0.08848008664759477,0.28660881519317627
2022_21_R,SOFT,5,0.029971639966381417,0.28660881519317627
2022_21_R,SOFT,8,0.12990070214799027,0.28660881519317627
2022_21_R,SOFT,9,0.044714015870182595,0.28660881519317627
2022_21_R,SOFT,4,0.18647887323943413,0.28660881519317627
2022_21_R,SOFT,16,0.08512004971002637,0.28660881519317627
2022_21_R,SOFT,13,0.08525591568580751,0.28660881519317627
2022_21_R,SOFT,10,0.09260080604426964,0.28660881519317627
2022_21_R,SOFT,8,0.11405030181086431,0.28660881519317627
2022_21_R,SOFT,15,0.09446712005627664,0.28660881519317627
2022_21_R,SOFT,9,0.041545539906096995,0.28660881519317627
2022_21_R,SOFT,11,0.05475719957861215,0.28660881519317627
2022_21_R,SOFT,7,0.08405030181086637,0.28660881519317627
2022_21_R,SOFT,8,0.1624463822647061,0.28660881519317627
2022_21_R,HARD,10,0.1638485702091301,0.24474743008613586
2022_22_R,HARD,15,0.059941826144586666,0.0002016232901951298
2022_22_R,HARD,17,0.057713345617267826,0.0002016232901951298
2022_22_R,HARD,22,0.05353192530774983,0.0002016232901951298
2022_22_R,HARD,21,0.07569005821764604,0.0002016232901951298
2022_22_R,HARD,32,0.05059963222181547,0.0002016232901951298
